"placekey","parent_placekey","location_name","brands","latitude","longitude","street_address","city","region","postal_code","iso_country_code","polygon_wkt","polygon_class","includes_parking_lot","is_synthetic","building_height","enclosed"
zzw-223@628-pfv-8n5,,Blair Christian Academy,,40.044131,-75.186886,220 W Upsal St,Philadelphia,PA,19119,US,"POLYGON ((-75.1870649769296 40.044482170739954, -75.18663624141897 40.04421863442157, -75.18657486396216 40.04427561514094, -75.18591143296572 40.04387047398237, -75.18643208712382 40.04339981077874, -75.18752506773319 40.04404428632133, -75.1870649769296 40.044482170739954))",OWNED_POLYGON,true,false,,false
22m-223@628-pj3-5j9,,Steel Edward Sch,,40.018746,-75.157517,4301 Wayne Ave,Philadelphia,PA,19140,US,"POLYGON ((-75.15677800599997 40.01876537900006, -75.15704502499995 40.01865074600005, -75.15705432099998 40.018663090000075, -75.15709791599994 40.018644375000065, -75.15707002999994 40.01860734400003, -75.15699918899998 40.01863775600003, -75.15695271299995 40.01857603700006, -75.15697451099999 40.01856668000005, -75.15693423299996 40.01851318900003, -75.15740287799997 40.01831199800006, -75.15774989699997 40.018772831000035, -75.15758641599996 40.01884301500007, -75.15759261199997 40.018851244000075, -75.15734193999998 40.018958859000065, -75.15727687299994 40.01887245300003, -75.15721693099994 40.01889818600006, -75.15717974999995 40.018848811000055, -75.15692362799996 40.018958765000036, -75.15677800599997 40.01876537900006))",OWNED_POLYGON,false,false,,false
zzw-226@628-p9k-cyv,,Red Lion Elementary School,,40.101771,-75.020758,10100 Jamison Ave,Philadelphia,PA,19116,US,"POLYGON ((-75.0208155854206 40.10158249031781, -75.02111176749845 40.101982336122916, -75.02068151099996 40.102301010000076, -75.02027107399994 40.101985788000036, -75.0208155854206 40.10158249031781))",OWNED_POLYGON,false,false,,false
22h-222@628-p7w-789,,The Gan,,40.056731,-75.061307,7622 Castor Ave,Philadelphia,PA,19152,US,"POLYGON ((-75.06118416510373 40.05669339128546, -75.06122249589998 40.05665467373321, -75.0614307285656 40.05676792906034, -75.06139183653488 40.056807448954224, -75.06118416510373 40.05669339128546))",OWNED_POLYGON,true,false,,false
zzw-222@628-pg4-fs5,zzw-222@628-pg4-3qz,Penna School,,40.03178,-75.174924,100 W School House Ln,Philadelphia,PA,19144,US,"POLYGON ((-75.17491999599997 40.03166978100006, -75.17496912099995 40.03159853000005, -75.17507923399995 40.03164179700008, -75.17488682599998 40.03192086400003, -75.17479244199995 40.031883777000075, -75.17493572599994 40.031675961000076, -75.17491999599997 40.03166978100006))",OWNED_POLYGON,false,false,,false
zzw-222@628-pmf-m8v,,Russell Byers Cs,,39.955739,-75.171644,1911 Arch St,Philadelphia,PA,19103,US,"POLYGON ((-75.17146737899998 39.956055089000074, -75.17151234199997 39.95589070600005, -75.17148167399995 39.95588591500007, -75.17155520599994 39.95561708300005, -75.17160427499994 39.95562474700006, -75.17161441699994 39.95558766700003, -75.17170028499999 39.955601080000065, -75.17170535699995 39.95558254000008, -75.17179701499998 39.955596857000046, -75.17168240599995 39.956139592000056, -75.17145402299997 39.95610391800005, -75.17146737899998 39.956055089000074))",OWNED_POLYGON,false,false,,false
22z-222@628-pj2-dy9,,Hopkinson Francis Sch,,40.008385,-75.102214,4001 L St,Philadelphia,PA,19124,US,"POLYGON ((-75.10224397399998 40.00848578100005, -75.10222837599997 40.00846951800003, -75.10194367599996 40.00843514400003, -75.10197237299997 40.00829960400006, -75.10226945099998 40.008335473000045, -75.10228330399997 40.00827004000007, -75.10235138399997 40.008278260000054, -75.10236127899998 40.008231522000074, -75.10214465999996 40.00820536800006, -75.10217038899998 40.00808385000005, -75.10252935599993 40.00812719000004, -75.10240269799993 40.00872543500003, -75.10205610499997 40.00868358800005, -75.10207886599994 40.008576092000055, -75.10224397399998 40.00848578100005))",OWNED_POLYGON,false,false,,false
222-224@628-pg9-zj9,,Abortion & Family Planning Association,,39.957668,-75.164116,225 N 15th St,Philadelphia,PA,19102,US,"POLYGON ((-75.16386424178106 39.9576559, -75.16387569740569 39.957600237232064, -75.1639089429232 39.95755002312368, -75.16396072403073 39.95751017298164, -75.16402597203266 39.9574845876155, -75.16409829999999 39.95747577149915, -75.16417062796732 39.9574845876155, -75.16422247087603 39.95752437229478, -75.16416317942816 39.95780957014937, -75.16409829999999 39.957834152013426, -75.16402597203266 39.9578272123845, -75.16396072403073 39.957801627018355, -75.1639089429232 39.95776177687632, -75.16387569740569 39.95771156276793, -75.16386424178106 39.9576559))",OWNED_POLYGON,,true,,false
22b-222@628-pj4-zcq,,Cerberus Combat System,,40.007547,-75.15353,3546 N 15th St Ste 2,Philadelphia,PA,19140,US,"POLYGON ((-75.153672690206 40.0075931871484, -75.1534596139022 40.0075664817036, -75.1534382416446 40.0075600939672, -75.1534474852053 40.0075153025793, -75.1535592807252 40.0075289441049, -75.1535570256155 40.0075398711078, -75.1536804918867 40.0075549360638, -75.153672690206 40.0075931871484))",OWNED_POLYGON,false,false,,false
226-222@63s-dvp-dvz,,Kipp West Philadelphia Preparatory Chart,,39.94452,-75.241847,5900 Baltimore Ave,Philadelphia,PA,19143,US,"POLYGON ((-75.24174067299998 39.94429304000005, -75.24211108799994 39.94415447500006, -75.24185553499996 39.94376422300007, -75.24198461699996 39.94371593500006, -75.24196239499997 39.943682, -75.24227107199994 39.943566530000055, -75.24229884899995 39.943608948000076, -75.24241670699996 39.94356485900005, -75.24267226299997 39.94395511000005, -75.24259930299996 39.943982403000064, -75.24260485899998 39.94399088800003, -75.24251506199994 39.94402447900006, -75.24260117399996 39.94415597700004, -75.24281444099995 39.944076196000026, -75.24293110899998 39.944254353000076, -75.24290304799996 39.94426485100007, -75.24299749399995 39.94440907400008, -75.24296381999994 39.94442167100004, -75.24298048599996 39.94444712300003, -75.24303099799994 39.94442822700006, -75.24315044399998 39.94461062600004, -75.24291472599998 39.944698806000076, -75.24289250399994 39.94466487100004, -75.24266239699995 39.94475095100006, -75.24268184199997 39.94478064400005, -75.24244612299998 39.944868823000036, -75.24233223199997 39.94469490600005, -75.24215263599996 39.94476208900005, -75.24224430399994 39.94490207100006, -75.24180653699995 39.94506583000003, -75.24172320399998 39.94493857300006, -75.24169514099998 39.94494907100005, -75.24149514299995 39.94464365500005, -75.24153442899996 39.944628959000056, -75.24151498399993 39.94459926500008, -75.24155427099998 39.944584570000075, -75.24146260599997 39.94444458700008, -75.24149628099997 39.944431991000044, -75.24145461399996 39.94436836300008, -75.24172400699996 39.94426758800006, -75.24174067299998 39.94429304000005))",SHARED_POLYGON,false,false,,false
