SchoolYear,Sector,SubSector,SRCSchoolID,SchoolName,LearningNetwork,GradeLevel,StudentEnrollment,ELCount,ELPCT,NotELCount,NotELPCT,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,AmericanIndianCount,AmericanIndianPCT,AsianCount,AsianPCT,BlackAfricanAmericanCount,BlackAfricanAmericanPCT,HispanicCount,HispanicPCT,MultiRaceCount,MultiRacePCT,PacificIslanderCount,PacificIslanderPCT,WhiteCount,WhitePCT,CEPEconomicallyDisadvantagedRate
2019-2020,Charter,Phila Charters,W66,Maritime Academy Charter School (MACHS),Charters,04,72,,,,,10,13.89,62,86.11,41,56.94,31,43.06,0,0.00,4,5.56,15,20.83,17,23.61,13,18.06,0,0.00,23,31.94,
2019-2020,Charter,Phila Charters,W66,Maritime Academy Charter School (MACHS),Charters,05,97,,,,,14,14.43,83,85.57,49,50.52,48,49.48,0,0.00,3,3.09,22,22.68,30,30.93,9,9.28,0,0.00,33,34.02,
2019-2020,Charter,Phila Charters,W66,Maritime Academy Charter School (MACHS),Charters,06,100,,,,,24,24.00,76,76.00,39,39.00,61,61.00,0,0.00,7,7.00,20,20.00,19,19.00,10,10.00,1,1.00,43,43.00,
2019-2020,Charter,Phila Charters,W66,Maritime Academy Charter School (MACHS),Charters,07,97,,,,,16,16.49,81,83.51,49,50.52,48,49.48,1,1.03,4,4.12,22,22.68,26,26.80,13,13.40,1,1.03,30,30.93,
2019-2020,Charter,Phila Charters,W66,Maritime Academy Charter School (MACHS),Charters,08,98,,,,,17,17.35,81,82.65,52,53.06,46,46.94,0,0.00,5,5.10,27,27.55,30,30.61,7,7.14,0,0.00,29,29.59,
2019-2020,Charter,Phila Charters,W66,Maritime Academy Charter School (MACHS),Charters,09,80,,,,,15,18.75,65,81.25,28,35.00,52,65.00,0,0.00,2,2.50,12,15.00,20,25.00,5,6.25,0,0.00,41,51.25,
2019-2020,Charter,Phila Charters,W66,Maritime Academy Charter School (MACHS),Charters,10,73,,,,,15,20.55,58,79.45,33,45.21,40,54.79,0,0.00,0,0.00,16,21.92,27,36.99,9,12.33,0,0.00,21,28.77,
2019-2020,Charter,Phila Charters,W66,Maritime Academy Charter School (MACHS),Charters,11,60,,,,,10,16.67,50,83.33,26,43.33,34,56.67,0,0.00,1,1.67,16,26.67,13,21.67,2,3.33,0,0.00,28,46.67,
2019-2020,Charter,Phila Charters,W66,Maritime Academy Charter School (MACHS),Charters,12,56,,,,,9,16.07,47,83.93,28,50.00,28,50.00,0,0.00,1,1.79,14,25.00,11,19.64,4,7.14,0,0.00,26,46.43,
2019-2020,Charter,Phila Charters,W66,Maritime Academy Charter School (MACHS),Charters,All Grades,870,,,,,149,17.13,721,82.87,412,47.36,458,52.64,1,0.11,35,4.02,188,21.61,230,26.44,83,9.54,2,0.23,331,38.05,
2019-2020,Charter,Phila Charters,W68,Belmont Charter School,Charters,00,88,,,,,2,2.27,86,97.73,44,50.00,44,50.00,0,0.00,0,0.00,83,94.32,2,2.27,2,2.27,0,0.00,1,1.14,
