SchoolYear,Sector,SubSector,SRCSchoolID,SchoolName,LearningNetwork,GradeLevel,StudentEnrollment,ELCount,ELPCT,NotELCount,NotELPCT,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,AmericanIndianCount,AmericanIndianPCT,AsianCount,AsianPCT,BlackAfricanAmericanCount,BlackAfricanAmericanPCT,HispanicCount,HispanicPCT,MultiRaceCount,MultiRacePCT,PacificIslanderCount,PacificIslanderPCT,WhiteCount,WhitePCT,CEPEconomicallyDisadvantagedRate
2019-2020,District,District,238,William M. Meredith School,Network 3,01,64,1,1.56,63,98.44,2,3.13,62,96.88,40,62.50,24,37.50,0,0.00,13,20.31,2,3.13,4,6.25,3,4.69,0,0.00,42,65.63,
2019-2020,District,District,238,William M. Meredith School,Network 3,02,68,0,0.00,68,100.00,3,4.41,65,95.59,35,51.47,33,48.53,0,0.00,5,7.35,3,4.41,6,8.82,10,14.71,0,0.00,44,64.71,
2019-2020,District,District,238,William M. Meredith School,Network 3,03,85,1,1.18,84,98.82,2,2.35,83,97.65,40,47.06,45,52.94,0,0.00,5,5.88,3,3.53,4,4.71,12,14.12,1,1.18,60,70.59,
2019-2020,District,District,238,William M. Meredith School,Network 3,04,65,1,1.54,64,98.46,7,10.77,58,89.23,35,53.85,30,46.15,0,0.00,8,12.31,4,6.15,4,6.15,9,13.85,0,0.00,40,61.54,
2019-2020,District,District,238,William M. Meredith School,Network 3,05,55,0,0.00,55,100.00,6,10.91,49,89.09,22,40.00,33,60.00,0,0.00,5,9.09,4,7.27,5,9.09,7,12.73,0,0.00,34,61.82,
2019-2020,District,District,238,William M. Meredith School,Network 3,06,43,0,0.00,43,100.00,1,2.33,42,97.67,26,60.47,17,39.53,0,0.00,5,11.63,3,6.98,6,13.95,7,16.28,0,0.00,22,51.16,
2019-2020,District,District,238,William M. Meredith School,Network 3,07,54,2,3.70,52,96.30,5,9.26,49,90.74,18,33.33,36,66.67,0,0.00,5,9.26,7,12.96,4,7.41,2,3.70,0,0.00,36,66.67,
2019-2020,District,District,238,William M. Meredith School,Network 3,08,44,1,2.27,43,97.73,5,11.36,39,88.64,21,47.73,23,52.27,0,0.00,1,2.27,7,15.91,3,6.82,4,9.09,0,0.00,29,65.91,
2019-2020,District,District,238,William M. Meredith School,Network 3,All Grades,538,7,1.30,531,98.70,31,5.76,507,94.24,277,51.49,261,48.51,0,0.00,51,9.48,35,6.51,40,7.43,62,11.52,2,0.37,348,64.68,22.01
2019-2020,District,District,239,Robert Morris School,Network 3,00,27,0,0.00,27,100.00,1,3.70,26,96.30,10,37.04,17,62.96,0,0.00,0,0.00,23,85.19,0,0.00,1,3.70,0,0.00,3,11.11,
2019-2020,District,District,239,Robert Morris School,Network 3,01,20,0,0.00,20,100.00,3,15.00,17,85.00,9,45.00,11,55.00,0,0.00,0,0.00,19,95.00,1,5.00,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,239,Robert Morris School,Network 3,02,22,0,0.00,22,100.00,3,13.64,19,86.36,14,63.64,8,36.36,0,0.00,0,0.00,19,86.36,2,9.09,0,0.00,0,0.00,1,4.55,
2019-2020,District,District,239,Robert Morris School,Network 3,03,21,0,0.00,21,100.00,8,38.10,13,61.90,7,33.33,14,66.67,0,0.00,1,4.76,17,80.95,2,9.52,1,4.76,0,0.00,0,0.00,
2019-2020,District,District,239,Robert Morris School,Network 3,04,32,0,0.00,32,100.00,13,40.63,19,59.38,13,40.63,19,59.38,0,0.00,0,0.00,29,90.63,0,0.00,3,9.38,0,0.00,0,0.00,
2019-2020,District,District,239,Robert Morris School,Network 3,05,22,0,0.00,22,100.00,7,31.82,15,68.18,10,45.45,12,54.55,0,0.00,0,0.00,21,95.45,1,4.55,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,239,Robert Morris School,Network 3,06,30,0,0.00,30,100.00,1,3.33,29,96.67,9,30.00,21,70.00,0,0.00,2,6.67,27,90.00,0,0.00,1,3.33,0,0.00,0,0.00,
2019-2020,District,District,239,Robert Morris School,Network 3,07,28,0,0.00,28,100.00,5,17.86,23,82.14,10,35.71,18,64.29,0,0.00,0,0.00,25,89.29,0,0.00,3,10.71,0,0.00,0,0.00,
2019-2020,District,District,239,Robert Morris School,Network 3,08,34,0,0.00,34,100.00,5,14.71,29,85.29,22,64.71,12,35.29,0,0.00,0,0.00,32,94.12,2,5.88,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,239,Robert Morris School,Network 3,All Grades,236,0,0.00,236,100.00,46,19.49,190,80.51,104,44.07,132,55.93,0,0.00,3,1.27,212,89.83,8,3.39,9,3.81,0,0.00,4,1.69,100.00
2019-2020,District,District,241,Girard Academic Music Program,Network 1,05,70,1,1.43,69,98.57,2,2.86,68,97.14,45,64.29,25,35.71,0,0.00,14,20.00,12,17.14,0,0.00,8,11.43,0,0.00,36,51.43,
2019-2020,District,District,241,Girard Academic Music Program,Network 1,06,99,2,2.02,97,97.98,3,3.03,96,96.97,51,51.52,48,48.48,0,0.00,27,27.27,10,10.10,4,4.04,11,11.11,0,0.00,47,47.47,
2019-2020,District,District,241,Girard Academic Music Program,Network 1,07,98,0,0.00,98,100.00,2,2.04,96,97.96,60,61.22,38,38.78,0,0.00,20,20.41,17,17.35,5,5.10,9,9.18,0,0.00,47,47.96,
2019-2020,District,District,241,Girard Academic Music Program,Network 1,08,99,0,0.00,99,100.00,4,4.04,95,95.96,53,53.54,46,46.46,1,1.01,19,19.19,30,30.30,8,8.08,6,6.06,0,0.00,35,35.35,
2019-2020,District,District,241,Girard Academic Music Program,Network 1,09,66,0,0.00,66,100.00,11,16.67,55,83.33,44,66.67,22,33.33,0,0.00,10,15.15,23,34.85,6,9.09,8,12.12,0,0.00,19,28.79,
2019-2020,District,District,241,Girard Academic Music Program,Network 1,10,68,0,0.00,68,100.00,8,11.76,60,88.24,46,67.65,22,32.35,1,1.47,8,11.76,25,36.76,4,5.88,1,1.47,0,0.00,29,42.65,
2019-2020,District,District,241,Girard Academic Music Program,Network 1,11,59,1,1.69,58,98.31,2,3.39,57,96.61,37,62.71,22,37.29,0,0.00,10,16.95,16,27.12,4,6.78,4,6.78,0,0.00,25,42.37,
2019-2020,District,District,241,Girard Academic Music Program,Network 1,12,66,1,1.52,65,98.48,5,7.58,61,92.42,44,66.67,22,33.33,0,0.00,16,24.24,20,30.30,3,4.55,2,3.03,0,0.00,25,37.88,
2019-2020,District,District,241,Girard Academic Music Program,Network 1,All Grades,625,5,0.80,620,99.20,37,5.92,588,94.08,380,60.80,245,39.20,2,0.32,124,19.84,153,24.48,34,5.44,49,7.84,0,0.00,263,42.08,50.18
2019-2020,District,District,245,Edwin M. Stanton School,Network 12,00,30,2,6.67,28,93.33,2,6.67,28,93.33,13,43.33,17,56.67,1,3.33,1,3.33,19,63.33,1,3.33,2,6.67,0,0.00,6,20.00,
2019-2020,District,District,245,Edwin M. Stanton School,Network 12,01,53,0,0.00,53,100.00,5,9.43,48,90.57,20,37.74,33,62.26,0,0.00,1,1.89,34,64.15,5,9.43,6,11.32,1,1.89,6,11.32,
2019-2020,District,District,245,Edwin M. Stanton School,Network 12,02,39,3,7.69,36,92.31,11,28.21,28,71.79,24,61.54,15,38.46,0,0.00,5,12.82,25,64.10,4,10.26,2,5.13,0,0.00,3,7.69,
2019-2020,District,District,245,Edwin M. Stanton School,Network 12,03,40,0,0.00,40,100.00,10,25.00,30,75.00,16,40.00,24,60.00,0,0.00,2,5.00,26,65.00,2,5.00,7,17.50,0,0.00,3,7.50,
2019-2020,District,District,245,Edwin M. Stanton School,Network 12,04,32,0,0.00,32,100.00,2,6.25,30,93.75,11,34.38,21,65.63,0,0.00,0,0.00,30,93.75,0,0.00,2,6.25,0,0.00,0,0.00,
2019-2020,District,District,245,Edwin M. Stanton School,Network 12,05,28,0,0.00,28,100.00,7,25.00,21,75.00,14,50.00,14,50.00,0,0.00,0,0.00,26,92.86,1,3.57,1,3.57,0,0.00,0,0.00,
2019-2020,District,District,245,Edwin M. Stanton School,Network 12,06,41,0,0.00,41,100.00,11,26.83,30,73.17,20,48.78,21,51.22,0,0.00,0,0.00,40,97.56,1,2.44,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,245,Edwin M. Stanton School,Network 12,07,23,2,8.70,21,91.30,4,17.39,19,82.61,11,47.83,12,52.17,0,0.00,1,4.35,17,73.91,3,13.04,2,8.70,0,0.00,0,0.00,
2019-2020,District,District,245,Edwin M. Stanton School,Network 12,08,15,0,0.00,15,100.00,3,20.00,12,80.00,7,46.67,8,53.33,0,0.00,1,6.67,9,60.00,2,13.33,2,13.33,0,0.00,1,6.67,
2019-2020,District,District,245,Edwin M. Stanton School,Network 12,All Grades,301,7,2.33,294,97.67,55,18.27,246,81.73,136,45.18,165,54.82,1,0.33,11,3.65,226,75.08,19,6.31,24,7.97,1,0.33,19,6.31,100.00
2019-2020,District,District,247,Albert M. Greenfield School,Network 3,00,93,1,1.08,92,98.92,4,4.30,89,95.70,48,51.61,45,48.39,0,0.00,10,10.75,7,7.53,2,2.15,8,8.60,0,0.00,66,70.97,
2019-2020,District,District,247,Albert M. Greenfield School,Network 3,01,92,0,0.00,92,100.00,6,6.52,86,93.48,42,45.65,50,54.35,0,0.00,10,10.87,13,14.13,3,3.26,11,11.96,0,0.00,55,59.78,
2019-2020,District,District,247,Albert M. Greenfield School,Network 3,02,88,6,6.82,82,93.18,9,10.23,79,89.77,43,48.86,45,51.14,0,0.00,8,9.09,13,14.77,6,6.82,6,6.82,0,0.00,55,62.50,
2019-2020,District,District,247,Albert M. Greenfield School,Network 3,03,75,2,2.67,73,97.33,9,12.00,66,88.00,31,41.33,44,58.67,0,0.00,4,5.33,10,13.33,3,4.00,10,13.33,0,0.00,48,64.00,
2019-2020,District,District,247,Albert M. Greenfield School,Network 3,04,79,1,1.27,78,98.73,9,11.39,70,88.61,33,41.77,46,58.23,0,0.00,8,10.13,13,16.46,3,3.80,10,12.66,0,0.00,45,56.96,
2019-2020,District,District,247,Albert M. Greenfield School,Network 3,05,69,1,1.45,68,98.55,6,8.70,63,91.30,34,49.28,35,50.72,0,0.00,4,5.80,10,14.49,2,2.90,10,14.49,0,0.00,43,62.32,
2019-2020,District,District,247,Albert M. Greenfield School,Network 3,06,71,2,2.82,69,97.18,7,9.86,64,90.14,39,54.93,32,45.07,0,0.00,9,12.68,16,22.54,4,5.63,8,11.27,0,0.00,34,47.89,
2019-2020,District,District,247,Albert M. Greenfield School,Network 3,07,66,0,0.00,66,100.00,6,9.09,60,90.91,31,46.97,35,53.03,0,0.00,6,9.09,18,27.27,2,3.03,5,7.58,0,0.00,35,53.03,
2019-2020,District,District,247,Albert M. Greenfield School,Network 3,08,52,4,7.69,48,92.31,7,13.46,45,86.54,21,40.38,31,59.62,0,0.00,8,15.38,9,17.31,4,7.69,5,9.62,0,0.00,26,50.00,
2019-2020,District,District,247,Albert M. Greenfield School,Network 3,All Grades,685,17,2.48,668,97.52,63,9.20,622,90.80,322,47.01,363,52.99,0,0.00,67,9.78,109,15.91,29,4.23,73,10.66,0,0.00,407,59.42,20.09
2019-2020,District,District,248,Chester A. Arthur School,Network 10,00,51,0,0.00,51,100.00,3,5.88,48,94.12,23,45.10,28,54.90,0,0.00,1,1.96,16,31.37,0,0.00,6,11.76,0,0.00,28,54.90,
2019-2020,District,District,248,Chester A. Arthur School,Network 10,01,45,0,0.00,45,100.00,4,8.89,41,91.11,16,35.56,29,64.44,0,0.00,2,4.44,12,26.67,2,4.44,3,6.67,0,0.00,26,57.78,
2019-2020,District,District,248,Chester A. Arthur School,Network 10,02,41,0,0.00,41,100.00,7,17.07,34,82.93,18,43.90,23,56.10,0,0.00,4,9.76,16,39.02,3,7.32,3,7.32,0,0.00,15,36.59,
2019-2020,District,District,248,Chester A. Arthur School,Network 10,03,35,0,0.00,35,100.00,12,34.29,23,65.71,17,48.57,18,51.43,0,0.00,2,5.71,19,54.29,2,5.71,2,5.71,0,0.00,10,28.57,
2019-2020,District,District,248,Chester A. Arthur School,Network 10,04,29,0,0.00,29,100.00,7,24.14,22,75.86,19,65.52,10,34.48,0,0.00,1,3.45,19,65.52,1,3.45,4,13.79,0,0.00,4,13.79,
2019-2020,District,District,248,Chester A. Arthur School,Network 10,05,23,0,0.00,23,100.00,6,26.09,17,73.91,13,56.52,10,43.48,0,0.00,1,4.35,16,69.57,3,13.04,2,8.70,0,0.00,1,4.35,
2019-2020,District,District,248,Chester A. Arthur School,Network 10,06,19,0,0.00,19,100.00,6,31.58,13,68.42,10,52.63,9,47.37,0,0.00,0,0.00,16,84.21,1,5.26,1,5.26,0,0.00,1,5.26,
2019-2020,District,District,248,Chester A. Arthur School,Network 10,07,28,3,10.71,25,89.29,7,25.00,21,75.00,5,17.86,23,82.14,0,0.00,2,7.14,21,75.00,1,3.57,3,10.71,0,0.00,1,3.57,
2019-2020,District,District,248,Chester A. Arthur School,Network 10,08,19,0,0.00,19,100.00,8,42.11,11,57.89,9,47.37,10,52.63,0,0.00,0,0.00,14,73.68,0,0.00,1,5.26,0,0.00,4,21.05,
2019-2020,District,District,248,Chester A. Arthur School,Network 10,All Grades,290,3,1.03,287,98.97,60,20.69,230,79.31,130,44.83,160,55.17,0,0.00,13,4.48,149,51.38,13,4.48,25,8.62,0,0.00,90,31.03,78.34
2019-2020,District,District,249,Laura W. Waring School,Network 3,00,35,2,5.71,33,94.29,1,2.86,34,97.14,10,28.57,25,71.43,0,0.00,4,11.43,26,74.29,3,8.57,0,0.00,0,0.00,2,5.71,
2019-2020,District,District,249,Laura W. Waring School,Network 3,01,33,1,3.03,32,96.97,3,9.09,30,90.91,17,51.52,16,48.48,0,0.00,0,0.00,26,78.79,5,15.15,0,0.00,0,0.00,2,6.06,
2019-2020,District,District,249,Laura W. Waring School,Network 3,02,29,1,3.45,28,96.55,2,6.90,27,93.10,14,48.28,15,51.72,0,0.00,1,3.45,25,86.21,3,10.34,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,249,Laura W. Waring School,Network 3,03,37,0,0.00,37,100.00,7,18.92,30,81.08,16,43.24,21,56.76,0,0.00,0,0.00,34,91.89,2,5.41,1,2.70,0,0.00,0,0.00,
2019-2020,District,District,249,Laura W. Waring School,Network 3,04,26,0,0.00,26,100.00,6,23.08,20,76.92,13,50.00,13,50.00,2,7.69,0,0.00,22,84.62,2,7.69,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,249,Laura W. Waring School,Network 3,05,27,0,0.00,27,100.00,3,11.11,24,88.89,16,59.26,11,40.74,0,0.00,0,0.00,25,92.59,2,7.41,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,249,Laura W. Waring School,Network 3,06,35,0,0.00,35,100.00,5,14.29,30,85.71,21,60.00,14,40.00,0,0.00,0,0.00,26,74.29,4,11.43,5,14.29,0,0.00,0,0.00,
2019-2020,District,District,249,Laura W. Waring School,Network 3,07,34,0,0.00,34,100.00,12,35.29,22,64.71,16,47.06,18,52.94,1,2.94,1,2.94,21,61.76,3,8.82,7,20.59,0,0.00,1,2.94,
2019-2020,District,District,249,Laura W. Waring School,Network 3,08,22,1,4.55,21,95.45,5,22.73,17,77.27,10,45.45,12,54.55,0,0.00,1,4.55,17,77.27,4,18.18,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,249,Laura W. Waring School,Network 3,All Grades,278,5,1.80,273,98.20,44,15.83,234,84.17,133,47.84,145,52.16,3,1.08,7,2.52,222,79.86,28,10.07,13,4.68,0,0.00,5,1.80,100.00
2019-2020,District,District,251,Andrew Jackson School,Network 10,00,80,11,13.75,69,86.25,1,1.25,79,98.75,37,46.25,43,53.75,1,1.25,2,2.50,9,11.25,17,21.25,8,10.00,0,0.00,43,53.75,
2019-2020,District,District,251,Andrew Jackson School,Network 10,01,83,11,13.25,72,86.75,9,10.84,74,89.16,34,40.96,49,59.04,0,0.00,14,16.87,13,15.66,13,15.66,4,4.82,0,0.00,39,46.99,
2019-2020,District,District,251,Andrew Jackson School,Network 10,02,68,17,25.00,51,75.00,8,11.76,60,88.24,37,54.41,31,45.59,0,0.00,10,14.71,7,10.29,22,32.35,2,2.94,0,0.00,27,39.71,
2019-2020,District,District,251,Andrew Jackson School,Network 10,03,67,16,23.88,51,76.12,5,7.46,62,92.54,35,52.24,32,47.76,0,0.00,4,5.97,11,16.42,18,26.87,6,8.96,1,1.49,27,40.30,
2019-2020,District,District,251,Andrew Jackson School,Network 10,04,80,23,28.75,57,71.25,3,3.75,77,96.25,36,45.00,44,55.00,0,0.00,8,10.00,10,12.50,25,31.25,8,10.00,0,0.00,29,36.25,
2019-2020,District,District,251,Andrew Jackson School,Network 10,05,45,14,31.11,31,68.89,8,17.78,37,82.22,20,44.44,25,55.56,0,0.00,4,8.89,7,15.56,20,44.44,9,20.00,0,0.00,5,11.11,
2019-2020,District,District,251,Andrew Jackson School,Network 10,06,56,16,28.57,40,71.43,10,17.86,46,82.14,28,50.00,28,50.00,1,1.79,5,8.93,12,21.43,21,37.50,4,7.14,0,0.00,13,23.21,
2019-2020,District,District,251,Andrew Jackson School,Network 10,07,42,9,21.43,33,78.57,4,9.52,38,90.48,22,52.38,20,47.62,0,0.00,10,23.81,10,23.81,14,33.33,2,4.76,0,0.00,6,14.29,
2019-2020,District,District,251,Andrew Jackson School,Network 10,08,48,10,20.83,38,79.17,6,12.50,42,87.50,19,39.58,29,60.42,0,0.00,6,12.50,15,31.25,21,43.75,2,4.17,0,0.00,4,8.33,
2019-2020,District,District,251,Andrew Jackson School,Network 10,All Grades,569,127,22.32,442,77.68,54,9.49,515,90.51,268,47.10,301,52.90,2,0.35,63,11.07,94,16.52,171,30.05,45,7.91,1,0.18,193,33.92,79.86
2019-2020,District,District,252,Abram S. Jenks School,Network 10,00,59,13,22.03,46,77.97,1,1.69,58,98.31,29,49.15,30,50.85,0,0.00,15,25.42,3,5.08,6,10.17,3,5.08,0,0.00,32,54.24,
2019-2020,District,District,252,Abram S. Jenks School,Network 10,01,49,12,24.49,37,75.51,4,8.16,45,91.84,27,55.10,22,44.90,0,0.00,14,28.57,1,2.04,8,16.33,0,0.00,0,0.00,26,53.06,
2019-2020,District,District,252,Abram S. Jenks School,Network 10,02,51,12,23.53,39,76.47,7,13.73,44,86.27,22,43.14,29,56.86,0,0.00,17,33.33,0,0.00,4,7.84,2,3.92,0,0.00,28,54.90,
2019-2020,District,District,252,Abram S. Jenks School,Network 10,03,48,12,25.00,36,75.00,6,12.50,42,87.50,25,52.08,23,47.92,0,0.00,14,29.17,2,4.17,7,14.58,4,8.33,0,0.00,21,43.75,
2019-2020,District,District,252,Abram S. Jenks School,Network 10,04,47,11,23.40,36,76.60,4,8.51,43,91.49,26,55.32,21,44.68,0,0.00,16,34.04,1,2.13,6,12.77,3,6.38,0,0.00,21,44.68,
2019-2020,District,District,252,Abram S. Jenks School,Network 10,05,33,7,21.21,26,78.79,11,33.33,22,66.67,15,45.45,18,54.55,0,0.00,8,24.24,3,9.09,4,12.12,4,12.12,0,0.00,14,42.42,
2019-2020,District,District,252,Abram S. Jenks School,Network 10,All Grades,287,67,23.34,220,76.66,33,11.50,254,88.50,144,50.17,143,49.83,0,0.00,84,29.27,10,3.48,35,12.20,16,5.57,0,0.00,142,49.48,100.00
2019-2020,Alternative,Alt District Run,253,Phila. Juv. Justice Services Ctr. School,Innovation,06,2,0,0.00,2,100.00,0,0.00,2,100.00,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2019-2020,Alternative,Alt District Run,253,Phila. Juv. Justice Services Ctr. School,Innovation,07,3,0,0.00,3,100.00,2,66.67,1,33.33,1,33.33,2,66.67,0,0.00,0,0.00,2,66.67,1,33.33,0,0.00,0,0.00,0,0.00,
2019-2020,Alternative,Alt District Run,253,Phila. Juv. Justice Services Ctr. School,Innovation,08,8,0,0.00,8,100.00,4,50.00,4,50.00,2,25.00,6,75.00,0,0.00,0,0.00,6,75.00,1,12.50,0,0.00,0,0.00,1,12.50,
2019-2020,Alternative,Alt District Run,253,Phila. Juv. Justice Services Ctr. School,Innovation,09,34,0,0.00,34,100.00,16,47.06,18,52.94,5,14.71,29,85.29,0,0.00,0,0.00,26,76.47,4,11.76,0,0.00,0,0.00,4,11.76,
2019-2020,Alternative,Alt District Run,253,Phila. Juv. Justice Services Ctr. School,Innovation,10,34,1,2.94,33,97.06,21,61.76,13,38.24,5,14.71,29,85.29,0,0.00,1,2.94,29,85.29,1,2.94,0,0.00,0,0.00,3,8.82,
2019-2020,Alternative,Alt District Run,253,Phila. Juv. Justice Services Ctr. School,Innovation,11,25,0,0.00,25,100.00,11,44.00,14,56.00,5,20.00,20,80.00,0,0.00,0,0.00,23,92.00,2,8.00,0,0.00,0,0.00,0,0.00,
2019-2020,Alternative,Alt District Run,253,Phila. Juv. Justice Services Ctr. School,Innovation,12,11,0,0.00,11,100.00,6,54.55,5,45.45,1,9.09,10,90.91,0,0.00,0,0.00,9,81.82,2,18.18,0,0.00,0,0.00,0,0.00,
2019-2020,Alternative,Alt District Run,253,Phila. Juv. Justice Services Ctr. School,Innovation,All Grades,117,1,0.85,116,99.15,60,51.28,57,48.72,19,16.24,98,83.76,0,0.00,1,0.85,97,82.91,11,9.40,0,0.00,0,0.00,8,6.84,0.00
2019-2020,District,District,254,Francis S. Key School,Network 10,00,66,35,53.03,31,46.97,2,3.03,64,96.97,26,39.39,40,60.61,0,0.00,35,53.03,4,6.06,21,31.82,4,6.06,0,0.00,2,3.03,
2019-2020,District,District,254,Francis S. Key School,Network 10,01,70,51,72.86,19,27.14,7,10.00,63,90.00,34,48.57,36,51.43,0,0.00,31,44.29,1,1.43,32,45.71,0,0.00,0,0.00,6,8.57,
2019-2020,District,District,254,Francis S. Key School,Network 10,02,73,55,75.34,18,24.66,1,1.37,72,98.63,33,45.21,40,54.79,0,0.00,29,39.73,10,13.70,31,42.47,2,2.74,0,0.00,1,1.37,
2019-2020,District,District,254,Francis S. Key School,Network 10,03,73,53,72.60,20,27.40,6,8.22,67,91.78,34,46.58,39,53.42,0,0.00,26,35.62,6,8.22,32,43.84,3,4.11,0,0.00,6,8.22,
2019-2020,District,District,254,Francis S. Key School,Network 10,04,67,46,68.66,21,31.34,6,8.96,61,91.04,31,46.27,36,53.73,0,0.00,22,32.84,6,8.96,21,31.34,3,4.48,0,0.00,15,22.39,
2019-2020,District,District,254,Francis S. Key School,Network 10,05,62,26,41.94,36,58.06,11,17.74,51,82.26,25,40.32,37,59.68,0,0.00,22,35.48,5,8.06,16,25.81,4,6.45,0,0.00,15,24.19,
2019-2020,District,District,254,Francis S. Key School,Network 10,06,71,26,36.62,45,63.38,7,9.86,64,90.14,33,46.48,38,53.52,0,0.00,32,45.07,6,8.45,19,26.76,2,2.82,0,0.00,12,16.90,
2019-2020,District,District,254,Francis S. Key School,Network 10,All Grades,482,292,60.58,190,39.42,40,8.30,442,91.70,216,44.81,266,55.19,0,0.00,197,40.87,38,7.88,172,35.68,18,3.73,0,0.00,57,11.83,100.00
2019-2020,District,District,258,Eliza B. Kirkbride School,Network 10,00,55,19,34.55,36,65.45,4,7.27,51,92.73,33,60.00,22,40.00,0,0.00,11,20.00,2,3.64,30,54.55,4,7.27,0,0.00,8,14.55,
2019-2020,District,District,258,Eliza B. Kirkbride School,Network 10,01,64,28,43.75,36,56.25,10,15.63,54,84.38,33,51.56,31,48.44,0,0.00,14,21.88,1,1.56,35,54.69,2,3.13,0,0.00,12,18.75,
2019-2020,District,District,258,Eliza B. Kirkbride School,Network 10,02,56,26,46.43,30,53.57,9,16.07,47,83.93,23,41.07,33,58.93,0,0.00,10,17.86,3,5.36,38,67.86,0,0.00,0,0.00,5,8.93,
2019-2020,District,District,258,Eliza B. Kirkbride School,Network 10,03,65,38,58.46,27,41.54,12,18.46,53,81.54,34,52.31,31,47.69,0,0.00,15,23.08,3,4.62,36,55.38,4,6.15,0,0.00,7,10.77,
2019-2020,District,District,258,Eliza B. Kirkbride School,Network 10,04,66,34,51.52,32,48.48,10,15.15,56,84.85,29,43.94,37,56.06,0,0.00,19,28.79,5,7.58,32,48.48,8,12.12,0,0.00,2,3.03,
2019-2020,District,District,258,Eliza B. Kirkbride School,Network 10,05,54,30,55.56,24,44.44,8,14.81,46,85.19,24,44.44,30,55.56,0,0.00,13,24.07,3,5.56,33,61.11,1,1.85,0,0.00,4,7.41,
2019-2020,District,District,258,Eliza B. Kirkbride School,Network 10,06,55,29,52.73,26,47.27,8,14.55,47,85.45,35,63.64,20,36.36,0,0.00,16,29.09,6,10.91,28,50.91,1,1.82,0,0.00,4,7.27,
2019-2020,District,District,258,Eliza B. Kirkbride School,Network 10,07,60,28,46.67,32,53.33,8,13.33,52,86.67,27,45.00,33,55.00,0,0.00,15,25.00,1,1.67,38,63.33,2,3.33,0,0.00,4,6.67,
2019-2020,District,District,258,Eliza B. Kirkbride School,Network 10,08,58,17,29.31,41,70.69,5,8.62,53,91.38,26,44.83,32,55.17,0,0.00,25,43.10,5,8.62,23,39.66,2,3.45,0,0.00,3,5.17,
2019-2020,District,District,258,Eliza B. Kirkbride School,Network 10,All Grades,533,249,46.72,284,53.28,74,13.88,459,86.12,264,49.53,269,50.47,0,0.00,138,25.89,29,5.44,293,54.97,24,4.50,0,0.00,49,9.19,100.00
2019-2020,District,District,259,George W. Nebinger School,Network 3,00,85,5,5.88,80,94.12,3,3.53,82,96.47,40,47.06,45,52.94,0,0.00,6,7.06,19,22.35,14,16.47,0,0.00,2,2.35,44,51.76,
2019-2020,District,District,259,George W. Nebinger School,Network 3,01,83,7,8.43,76,91.57,11,13.25,72,86.75,36,43.37,47,56.63,0,0.00,4,4.82,23,27.71,16,19.28,6,7.23,1,1.20,33,39.76,
2019-2020,District,District,259,George W. Nebinger School,Network 3,02,75,8,10.67,67,89.33,17,22.67,58,77.33,34,45.33,41,54.67,0,0.00,2,2.67,25,33.33,11,14.67,6,8.00,0,0.00,31,41.33,
2019-2020,District,District,259,George W. Nebinger School,Network 3,03,60,16,26.67,44,73.33,14,23.33,46,76.67,23,38.33,37,61.67,0,0.00,5,8.33,22,36.67,15,25.00,4,6.67,1,1.67,13,21.67,
2019-2020,District,District,259,George W. Nebinger School,Network 3,04,58,11,18.97,47,81.03,15,25.86,43,74.14,24,41.38,34,58.62,0,0.00,4,6.90,31,53.45,10,17.24,3,5.17,0,0.00,10,17.24,
2019-2020,District,District,259,George W. Nebinger School,Network 3,05,45,7,15.56,38,84.44,12,26.67,33,73.33,16,35.56,29,64.44,0,0.00,7,15.56,19,42.22,12,26.67,2,4.44,0,0.00,5,11.11,
2019-2020,District,District,259,George W. Nebinger School,Network 3,06,36,6,16.67,30,83.33,6,16.67,30,83.33,18,50.00,18,50.00,0,0.00,1,2.78,17,47.22,13,36.11,2,5.56,0,0.00,3,8.33,
2019-2020,District,District,259,George W. Nebinger School,Network 3,07,57,9,15.79,48,84.21,15,26.32,42,73.68,30,52.63,27,47.37,0,0.00,7,12.28,26,45.61,13,22.81,5,8.77,1,1.75,5,8.77,
2019-2020,District,District,259,George W. Nebinger School,Network 3,08,26,4,15.38,22,84.62,4,15.38,22,84.62,14,53.85,12,46.15,0,0.00,4,15.38,13,50.00,7,26.92,1,3.85,0,0.00,1,3.85,
2019-2020,District,District,259,George W. Nebinger School,Network 3,All Grades,525,73,13.90,452,86.10,97,18.48,428,81.52,235,44.76,290,55.24,0,0.00,40,7.62,195,37.14,111,21.14,29,5.52,5,0.95,145,27.62,90.21
2019-2020,District,District,262,Academy at Palumbo,Network 1,09,245,13,5.31,232,94.69,16,6.53,229,93.47,132,53.88,113,46.12,1,0.41,89,36.33,84,34.29,14,5.71,17,6.94,0,0.00,40,16.33,
